"#";"Url";"Google index";"Google cachedate"
"1";"https://www.amazon.de/papiert%C3%BCten/s?k=papiert%C3%BCten";"36,900,000";"error"
"2";"https://www.ratioform.at/Verpackungen/Beutel-Taschen/Papierbeutel-Papiertueten/";"1,430";"error"
"3";"https://www.papstar-shop.at/produkte/einwegverpackungen/tueten-beutel/papiertueten-papierbeutel.htm";"5,340";"error"
"4";"https://www.depot-online.at/de/p/papiertuten-8158";"14,800";"error"
"5";"https://www.depot-online.at/de/p/papiertuten-7746";"14,800";"error"
"6";"https://www.leicht-bags.de/papiert%C3%BCten/kraftpapier-t%C3%BCten/#:~:text=Kraftpapier%20t%C3%BCten&text=Kraftpapiert%C3%BCten%20sind%20eine%20umweltfreundliche%20Alternative%20zu%20herk%C3%B6mmlichen%20Plastikt%C3%BCten%2C%20da%20sie,werden%20und%20biologisch%20abbaubar%20sind.";"485";"error"
"7";"https://retailreport.at/interspar-papiersackerl#:~:text=Ab%20sofort%20testet%20Interspar%20in,Die%20Papiersackerl%20gibt%20es%20gratis.";"3,620";"error"
"8";"https://www.verpackungswelt.de/tragetaschen/papiertueten#:~:text=Wie%20viel%20kosten%20Papiert%C3%BCten%3F,zu%203%2C86%E2%82%AC%20an.";"710";"error"
"9";"https://www.rajapack.de/verpackungsnews/wie-werden-tueten-hergestellt#:~:text=Wie%20viel%20Gewicht%20eine%20T%C3%BCte,Bruchdehnung%20von%2040%20kg%20aufweisen.";"3,790";"error"
"10";"https://www.etivera.com/papiertueten.html";"14,200";"error"
"11";"https://www.pack2go.de/tuten-beutel/papiertuten/papiertuten";"2,020";"error"
"12";"https://www.allbranded.at/Promotiontaschen/Papiertueten/";"5,480";"error"
"13";"https://www.flyeralarm.com/de/c/werbeartikel/taschen-tueten-und-beutel/papiertragetaschen/";"42,300";"error"
"14";"https://www.vistaprint.at/verpackungen/einkaufstaschen/kraftpapiertueten";"7,950";"error"
"15";"https://www.briefumschlaegebestellen.at/tragetaschen-und-beutel/tragetaschen/papiertueten-take-away";"3,060";"error"
