"#";"Url";"Google index";"Google cachedate"
"1";"https://www.myomy.nl/en/my-paper-bag-en/";"1,130";"error"
"2";"https://en.wikipedia.org/wiki/Paper_sack#:~:text=A%20paper%20sack%20is%20a,wall%20paper%20bags%20or%20sacks.";"2,000,000,000";"17 Sep 2023"
"3";"https://www.linkedin.com/pulse/paper-bags-eco-friendly-choice-osama-diab#:~:text=Paper%20bags%20have%20become%20a,clothes%2C%20gifts%2C%20and%20more.";"413,000,000";"error"
"4";"https://www.rajapack.co.uk/blog-uk/how-are-paper-bags-made#:~:text=Paper%20bags%20are%20manufactured%20from,parallel%20open%20sides%20glued%20together.";"2,320";"18 Sep 2023"
"5";"https://www.nationalgeographic.org/media/sustainable-shoppingwhich-bag-best/#:~:text=Paper%20bags%20have%20some%20advantages,used%20for%20purposes%20like%20composting.";"12,500";"error"
"6";"https://www.jusre.be/product/washable-paper-bag-small/";"339";"error"
"7";"https://en.wikipedia.org/wiki/Paper_bag";"2,000,000,000";"14 Sep 2023"
"8";"https://www.zakken.be/draagtassen/draagtas-papier/glossy-paper-bag-medium-24x10x30cm-1019?column_kleur=3";"8,050";"error"
"9";"https://www.amazon.com/paper-bag/s?k=paper+bag";"108,000,000";"18 Sep 2023"
"10";"https://www.biopack.be/en/tw0180822-doos-white-kraft-paper-bag-twisted-handles-xs";"17,500";"error"
"11";"https://www.pascogifts.com/en/paper-bag-70g-m-33x32x21cm";"52,600";"error"
"12";"https://studioblanche.be/tractaties/andere1681958862/washable-paper-bag-kraft/";"1,440";"error"
"13";"https://www.greengiving.eu/colored-paper-bags/paper-bag-26-34-12cm-100gr";"1,600";"error"
"14";"https://www.rivanco.be/en/paper-bag-medium-draagtassen-bags-business-gifts?updateWidget=XXXWIDGETIDXXX";"5,160";"error"
"15";"https://beautyqueens.be/products/london-lash-reusable-paper-bag";"1,030";"error"
"16";"https://int.liebeskind-berlin.com/c/bags/our-classics/the-iconic-paper-bag/";"1,380";"error"
"17";"https://www.paperbagco.co.uk/";"980";"17 Sep 2023"
"18";"https://www.plantiful.be/plant/pb-small-zwart-13-kopie/";"704";"error"
"19";"https://www.pandhys.be/product/td-paper-bag-black-retail/";"874";"error"
"20";"https://www.bol.com/be/nl/f/the-paper-bag/9300000148790028/";"17,700,000";"error"
"21";"https://www.hotpackwebstore.com/collections/paper-bags";"3,330";"error"
"22";"https://www.freepik.com/free-photos-vectors/paper-bag";"115,000,000";"18 Sep 2023"
"23";"https://www.mypaperbag.eu/";"44";"error"
"24";"https://www.pacdora.com/dielines/paper-bag-dielines";"1,720";"18 Sep 2023"
"25";"https://unsplash.com/s/photos/paper-bag";"15,500,000";"error"
"26";"https://kolor.de/products/paper-bag-special-edition-good-things-inside";"361";"error"
"27";"https://www.gettyimages.be/fotos/paper-bag";"9,890,000";"error"
"28";"https://www.pinterest.com/pin/312789136590717967/";"420,000,000";"16 Sep 2023"
"29";"https://escapestore.be/products/paper-bag-large-plus";"766";"error"
"30";"https://www.wikihow.com/Make-a-Paper-Bag";"191,000";"error";"191,000";"error"
"31";"https://coposplastico.com/Kraft-paper-bag-with-flat-handle-22x29cm";"7,550";"error";"7,550";"error"
"32";"https://www.biopak.com/au/bags/paper";"8,110";"error";"8,110";"error"
"33";"https://www.amazon.com.be/-/en/Paper-Company-Pack-White-Handles/dp/B01M4NL46R";"3,160,000";"error"
"34";"https://coposplastico.com/Kraft-paper-bag-with-flat-handle-22x29cm";"7,550";"error";"7,550";"error"
"35";"https://www.wikihow.com/Make-a-Paper-Bag";"191,000";"error";"191,000";"error"
"36";"https://centuryshop.eu/en/machine-made-paper-bags/527-paper-bag-box.html";"1,380";"error"
"37";"https://www.biopak.com/au/bags/paper";"8,110";"error";"8,110";"error"
"38";"https://www.thepaperbag.org/";"73";"error"
"39";"https://www.promotionalgifts.eu/paper-medium---gift-paper-bag-medium-size.html?pid=14064";"4,520";"error"
"40";"https://www.ikea.com/be/en/p/frakta-paper-bag-with-handles-brown-00483022/";"29,200,000";"error"
"41";"https://www.macaoli.be/boutique/emballages/twisted-paper-bag-kraft-100pc/";"356";"error"
"42";"https://www.shutterstock.com/search/paper-bag";"71,300,000";"error"
"43";"https://www.thelittlegreenbag.nl/myomy/my-paper-bag/";"118,000";"error"
"44";"https://paperbagrecords.com/";"766";"error"
"45";"https://kunstinhuis.be/kunstwerk/298938";"7,130";"error"
"46";"https://www.uashmama.nl/nl/uashmama-paper-bag-black.html";"1,330";"error"
"47";"https://www.yessirbags.in/";"590";"error"
"48";"https://www.paperbags.lk/";"199";"error"
"49";"https://en.wordans.be/giftretail-mo6173-paper-tone-m-medium-gift-paper-bag-90-gr-m-519738";"8,330";"error"
