"#";"Url";"Google index";"Google cachedate"
"1";"https://www.zakken.be/papieren-tassen";"8,050";"14 Sep 2023"
"2";"https://www.biopack.be/nl/zakken-draagtassen/papieren-draagtassen";"17,500";"17 Sep 2023"
"3";"https://www.rajapack.be/nl_BE/promotionele-verpakkingen/papieren-draagtassen-zakken-zakjes_C8510.html";"6,350";"18 Sep 2023"
"4";"https://www.bol.com/be/nl/p/creotime-papieren-zakken-afm-15x9x27-cm-bruin-100-stuks/9200000040215264/";"17,700,000";"17 Sep 2023"
"5";"https://www.packlinq.be/zakken/papieren-zakken.html";"3,740";"error"
"6";"https://www.allesvoorverswinkels.nl/papieren-zakken";"1,460";"error";"1,460";"error"
"7";"https://www.monouso.be/nl/papieren-zakjes-257";"45,200";"error"
"8";"https://vendrigpackaging.com/266-papieren-zakken";"5,240";"error"
"9";"https://www.ava.be/nl/aan-tafel/verpakken-en-bewaren/zakken";"59,800";"error"
"10";"https://www.profipack.be/folie-zakken/zakken/papieren-zakken";"3,550";"error"
"11";"https://www.verpakkingshop.nl/groep/bruine-papieren-zakken";"2,170";"error"
"12";"https://www.allesvoorverswinkels.nl/papieren-zakken";"1,460";"error";"1,460";"error"
"13";"https://www.disposablediscounter.nl/zakken-tassen/papieren-zakken";"9,220";"error"
"14";"https://www.enveloppenland.be/draagtassen-en-zakjes/draagtassen/papieren-draagtassen-platte-handgreep";"1,150";"error"
"15";"https://www.eurogifts.be/nl/tassen-reizen/draagtassen/papieren-tassen";"8,070";"error"
"16";"https://goedkopeverpakkingen.nl/verpakkingen/bakkerijverpakkingen/papierenzakken";"778";"error"
"17";"https://www.topashop.be/nl/verpakken/zakken/papieren-zakken";"3,680";"error"
"18";"https://www.aduis.be/geschenkdozen-en-zakken-papieren-naturel-20-stuks-m-art602275";"20,600";"error"
"19";"https://www.bizay.be/nl-be/groep/op-bestelling-gemaakte-papieren-zakken";"23,100";"error"
"20";"https://www.lyreco.com/webshop/NLBE/papieren-draagtassen-bruine-kraft-100-g-320-x-430-mm-per-250-papieren-zakken-product-000000000010241421.html";"317,000";"error"
"21";"https://www.packanddesign.be/nl/3-papieren-zakken-en-herbruikbare-draagtassen";"755";"error"
"22";"https://papierpresent.be/products/bedrukte-papieren-zakken-quadri";"638";"error"
"23";"https://www.vanhelden.be/nl/tassen/materialen/papieren-tassen";"7,070";"error"
"24";"https://www.depot-online.be/nl/p/papieren-zakken-7746";"19,600";"error"
"25";"https://www.hilbrandtanja.nl/Papieren-zakken-en-papieren-tassen-bestellen";"1,650";"error"
"26";"https://www.claerpack.be/nl/papieren-zakken/";"1,340";"error";"1,340";"error"
"27";"https://www.123bigbags.com/be/nl/recycling/papieren-zakken";"5,930";"error"
"28";"https://www.bruneau.be/nl/catalog/kraft-papieren-zakken/28113";"458,000";"error"
"29";"https://www.hageland-educatief.be/nl/aanbod/creatieve-materialen/papier-crea-papier-en-karton/zakken/PB247419-papieren-zakken-craft-6-ass/";"12,000";"error";"12,000";"error"
"30";"https://sabe-verpakkingen.nl/papieren-zakken";"1,380";"error";"1,380";"error"
"31";"https://sabe-verpakkingen.nl/papieren-zakken";"1,380";"error";"1,380";"error"
"32";"https://www.rovasac.eu/nl/papieren-zakken-en-draagtassen";"227";"error"
"33";"https://www.belpaper.com/nl/190-papieren-zakken";"859";"error"
"34";"https://www.hageland-educatief.be/nl/aanbod/creatieve-materialen/papier-crea-papier-en-karton/zakken/PB247419-papieren-zakken-craft-6-ass/";"12,000";"error";"12,000";"error"
"35";"https://www.cinderellaeco.com/be-nl/products/1026/cinderella-papieren-zakken";"2,760";"error"
"36";"https://www.claerpack.be/nl/papieren-zakken/";"1,340";"error";"1,340";"error"
"37";"https://www.planetedisque.com/nl/papieren-en-katoenen-zakken/1009-50-papieren-zakken-voor-langspeelplaten-met-opdruk-6096444330340.html";"3,310";"error"
"38";"https://www.ecobiopack.nl/assortiment/tassen-zakken/";"874";"error"
"39";"https://www.dynamicservice.be/papieren-zakken";"435";"error"
"40";"https://nl.retif.be/c-1188-papieren-kraftzakken/";"15,000";"error"
"41";"https://upibags.com/nl/inspiratie/papieren-draagtassen-zakken-en-zakjes/";"301";"error"
"42";"https://www.peijs.nl/enveloppen-en-zakken/papieren-zakken";"1,420";"error"
"43";"https://www.variapack.be/nl/zakken/draagtassen";"3,350";"error"
"44";"https://gluecom.eu/nl-be/papieren-zak-venster/";"1,640";"error"
"45";"https://www.belux-mondial.be/nl/aanbod/papieren-zakken/";"51";"error"
"46";"https://www.verpakkingwinkel.be/verpakkingen/papieren-zakken";"1,430";"error"
"47";"https://www.drukland.be/drukken/papieren-tassen";"738";"error"
"48";"https://www.goedkooppennenbedrukken.be/papieren-tassen-bedrukken.html";"10,300";"error"
"49";"https://www.incluyo.be/nl/product-category/2a1f0899-df76-4a9e-818c-e811b43c8c25/";"2,170";"error"
"50";"https://nl.pinterest.com/ankeschipper/papieren-zakken/";"15,500,000";"error"
"51";"https://www.rotimshop.nl/geschenkverpakking/papieren-zakjes/";"5,720";"error"
"52";"https://www.etsy.com/be/market/groothandel_papieren_zakken";"42,800,000";"error"
"53";"https://www.thuisbakkerswinkel.nl/product/papieren-zakken-per-5";"error";"error"
"54";"https://www.enveloppen.eu/product/papieren-zakken-met-golfpapier";"error";"error"
"55";"https://www.vbs-hobby.be/vbs-papieren-zakken-6-stuks-a17818/";"error";"error"
"56";"https://www.amazon.com.be/-/nl/OUNONA-papieren-zakken-verschillende-maten/dp/B073WWT8HT";"error";"error"
"57";"https://shop.transposafe.be/politie-catalogus/papieren-zakken.html";"error";"error"
"58";"https://www.flyer.be/benl/drukwerk/basic-papieren-zakken";"error";"error"
"59";"https://compostbag.eu/products/ventimax/papieren-zakken-in-ventimax/";"error";"error"
"60";"https://www.ecobos.be/nl/thuis-kantoor/papieren-zakken-en-dozen/";"error";"error"
"61";"https://www.paardekooper.nl/nl_NL/eten-zakken-papier/2444/";"error";"error"
"62";"https://bink.be/nl/catalog/category/view/s/papieren-zakken/id/564/";"error";"error"
"63";"https://www.uashmama.nl/en/tags/papieren-zakken/";"error";"error"
"64";"https://www.allesvooruwwinkel.nl/c-585188/papieren-zakken/";"error";"error"
"65";"https://www.papstar-shop.nl/producten/wegwerpverpakkingen/tassen-zakken-zakjes/papieren-zakjes-papieren-tasjes.htm";"error";"error"
"66";"https://www.cchobby.be/nl/paper-bag-size-15x9x27-cm-46-g-white-100-pc-1-pack/";"error";"error"
"67";"https://www.silhouetteshop.be/ster-van-papieren-zakken-groen-wit.html?id=118488755";"error";"error"
"68";"http://www.nyssapack.com/Papieren-zakken";"error";"error"
"69";"https://www.stempelfabriek.nl/papieren-tassen-stempelen";"error";"error"
"70";"https://www.schleiper.com/onlinecatalogue/category_content/1023-papieren-zakken?lang=nl";"error";"error"
"71";"https://www.spaargids.be/forum/geen-papieren-zakken-meer-in-carrefour-t32158.html";"error";"error"
"72";"https://www.ecobos.org/zakken-en-textiel/papieren-zakken/";"error";"error"
"73";"https://staples.nl/papieren-zakken-26-x-13-x-33-cm/371750/";"error";"error"
"74";"https://www.hovenscollin.com/papieren-zakken/771/";"error";"error"
"75";"https://baasverpakkingen.nl/bruine-zakken";"error";"error"
"76";"https://www.2dehands.be/q/papieren+zakken/";"error";"error"
"77";"https://www.manutan.be/nl/mab/nl-afvalzak-van-papier-groen-afval-70-tot-140-l";"error";"error"
"78";"https://www.pascogifts.com/nl/tassen/papieren-draagtassen";"error";"error"
"79";"https://www.mondialgifts.be/lp/prijzen-bedrukte-papieren-zakken-stijgen.html";"error";"error"
"80";"https://koropackvision.nl/papieren-zakken-bruin-met-stripsluiting.html";"error";"error"
"81";"https://shop.takeaway.com/nl-BE/solden/Gerecyclede-papieren-zakken-groot-stuks--COD01011143/2.html";"error";"error"
"82";"https://www.kadoonline.nl/c-4409719/papieren-zakken/";"error";"error"
"83";"https://abcpacksolutions.com/papier/plat-handvat/";"error";"error"
"84";"https://centuryshop.eu/nl/319-papieren-draagtas";"error";"error"
"85";"https://www.europages.nl/ondernemingen/belgi%C3%AB/fabrikant%20producent/papieren%20zakken.html";"error";"error"
"86";"http://www.sanderusdruk.be/apotheek/inlogpagina-apotheek/bestelformulier-zakken/";"error";"error"
"87";"https://kassaplan.nl/kraft-papieren-zakken-bruin-14x8x26cm";"error";"error"
"88";"https://www.ivvo.be/nieuws/papieren-zakjes-helpen-je-gft-container-proper-te-houden";"error";"error"
"89";"https://www.dekinder.be/fr/a/63491181/papieren-zakken-10st-voor-vp600-hepa";"error";"error"
"90";"https://bunky.be/nl/papierwaren/papieren-zakken-gedraaide-handgrepen/";"error";"error"
"91";"https://www.drukwerkdeal.nl/nl/producten/tassen/papieren-zakken";"error";"error"
"92";"https://www.otto-office.com/bn/Pak-met-250-papieren-zakken-Merry-Christmas-32-x-42-cm-ca.-18-liter/349411/p";"error";"error"
"93";"https://www.rowenta.be/nl/accessory/6-papieren-zakken-hoog-prestatie-filtercassette-zr004101/a/2210014987";"error";"error"
"94";"https://www.tassen.nl/papieren-zakken";"error";"error"
"95";"https://www.bvda.com/NL/sect13/nl_13_2a.html";"error";"error"
"96";"https://www.casalingo-pelt.be/product/6479844/papieren-zakken";"error";"error"
"97";"https://verpakking.nl/verpakking/papieren-zakjes-met-venster";"error";"error"
"98";"https://saketos.nl/onze-blog/5-redenen-waarom-je-van-papieren-zakken-gaat-afzien/";"error";"error"
"99";"https://dekuyper-products.com/nl/product-tag/papierenzakken/";"error";"error"
"100";"https://www.agf.nl/article/9560513/marks-spencer-stapt-over-op-papieren-zakken/";"error";"error"
"101";"https://www.bradaverpakkingen.nl/nl/bio-nature-papieren-zak-kraft.html";"error";"error"
"102";"https://www.pharma-pack.be/nl-be/papieren-zakken-groen-kruis-22x39-cm-pz-3-800-pcs-4468211";"error";"error"
"103";"https://www.pharma-pack.be/nl-be/papieren-zakken-groen-kruis-17x33-cm-pz-2-1000-pcs-4468203";"error";"error"
"104";"https://www.lobbesspeelgoed.be/speelgoed/feestartikelen/cadeaupapier/cadeautasjes/detail/6021105-papieren-zakken-bruin-10st";"error";"error"
"105";"https://www.rijkevorsel.be/nieuwsberichten/nieuw-papieren-zakken-voor-gft-afval";"error";"error"
"106";"https://nl.marketscreener.com/koers/aandeel/KYM-HOLDINGS-20699144/nieuws/KYM-Holdings-Bhd-meldt-resultaten-voor-het-tweede-kwartaal-en-de-zes-maanden-eindigend-op-31-juli-20-44854642/";"error";"error"
"107";"https://www.hln.be/eten/wat-mag-in-de-microgolfoven-en-wat-niet-dankzij-dit-simpel-trucje-weet-je-altijd-het-antwoord~a94bcac9/";"error";"error"
"108";"https://www.rodi.nl/zaanstad/nieuws/357285/-uit-de-fabriek-geklapt-een-berg-afvalsuiker";"error";"error"
"109";"https://books.google.be/books?id=u6Wag1TutAUC&pg=PT68&lpg=PT68&dq=%22papieren+zakken%22&source=bl&ots=4ce9DNGudk&sig=ACfU3U1_uJjOYd8wmE5CmazQf771bBrAKg&hl=da&sa=X&ved=2ahUKEwjkpY2h6LaBAxWccfEDHbHJB1E4ZBDoAXoECAYQAw";"error";"error"
"110";"https://bonaire.nu/2023/09/16/nieuw-schilderscentrum-met-aanvullende-diensten-nu-op-bonaire-advertorial/";"wait...";"error"
"111";"https://samagame.com/nl/trend/octavian-spaceman-albumrecensie/";"wait...";"error"
"112";"https://chapaesaflor.pe/infoblog/hoe/hoe-maak-je-popcorn.html";"wait...";"error"
